epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5682,2.22192,1.08683,1.31778,0.72159,0.6072,0.6458,0.25785,2.18522,1.0681,1.28067,0.000664583,0.000664583,0.000664583
2,144.207,2.01884,0.95592,1.21757,0.70645,0.63073,0.6626,0.27079,2.1296,1.06067,1.25999,0.00130489,0.00130489,0.00130489
3,214.621,1.98741,0.94914,1.20913,0.73474,0.62856,0.65983,0.27147,2.15305,1.03778,1.27932,0.0019188,0.0019188,0.0019188
4,285.927,1.9705,0.94193,1.2005,0.73244,0.64959,0.68702,0.2841,2.10519,1.05145,1.24468,0.0018812,0.0018812,0.0018812
5,358.048,1.93857,0.92173,1.18789,0.7454,0.63872,0.69099,0.28744,2.09783,1.04701,1.24606,0.0018416,0.0018416,0.0018416
6,427.753,1.92293,0.915,1.17732,0.73153,0.66851,0.69557,0.29323,2.07677,1.02558,1.23141,0.001802,0.001802,0.001802
7,498.382,1.9046,0.90385,1.17437,0.75479,0.66315,0.70345,0.29915,2.07451,1.02315,1.2273,0.0017624,0.0017624,0.0017624
8,568.669,1.89492,0.8974,1.16708,0.72965,0.67378,0.69737,0.29625,2.06812,1.02195,1.22648,0.0017228,0.0017228,0.0017228
9,638.36,1.88682,0.89603,1.1623,0.75978,0.66993,0.716,0.30816,2.04209,1.02005,1.22135,0.0016832,0.0016832,0.0016832
10,710.574,1.87616,0.89066,1.16486,0.74017,0.67298,0.70705,0.3033,2.04762,1.01849,1.21933,0.0016436,0.0016436,0.0016436
11,780.524,1.8613,0.88135,1.15358,0.74948,0.6823,0.71289,0.30593,2.03811,1.02758,1.21561,0.001604,0.001604,0.001604
12,849.965,1.8544,0.87777,1.15077,0.75532,0.67797,0.72144,0.31222,2.03326,0.99695,1.2165,0.0015644,0.0015644,0.0015644
13,919.789,1.85317,0.87854,1.15308,0.72935,0.68218,0.71214,0.30909,2.0271,1.01421,1.21295,0.0015248,0.0015248,0.0015248
14,988.667,1.84058,0.8703,1.14557,0.75659,0.68545,0.72652,0.31826,2.01099,1.00796,1.20739,0.0014852,0.0014852,0.0014852
15,1057.8,1.82395,0.85876,1.1379,0.75152,0.69383,0.72471,0.31701,2.01518,0.99621,1.2038,0.0014456,0.0014456,0.0014456
16,1126.47,1.82853,0.86277,1.14566,0.76685,0.68428,0.73171,0.32059,2.01072,0.994,1.1993,0.001406,0.001406,0.001406
17,1196.01,1.81556,0.8533,1.13735,0.77391,0.68624,0.73847,0.32495,2.00865,0.98704,1.20783,0.0013664,0.0013664,0.0013664
18,1265.45,1.80486,0.84947,1.13263,0.75538,0.68198,0.72779,0.32033,2.0126,0.99374,1.20236,0.0013268,0.0013268,0.0013268
19,1334.2,1.80765,0.85227,1.13402,0.74847,0.69445,0.72936,0.32138,2.00548,0.98631,1.20047,0.0012872,0.0012872,0.0012872
20,1402.77,1.81052,0.85381,1.13766,0.75629,0.69238,0.73494,0.3242,1.99892,0.98951,1.20018,0.0012476,0.0012476,0.0012476
21,1471.8,1.7913,0.84036,1.12244,0.75689,0.69811,0.73497,0.32645,1.99495,0.97832,1.20029,0.001208,0.001208,0.001208
22,1541.22,1.79324,0.8358,1.12695,0.74777,0.7065,0.73138,0.32522,1.98992,0.97989,1.19401,0.0011684,0.0011684,0.0011684
23,1610.06,1.78279,0.83406,1.12436,0.76045,0.69835,0.73659,0.32783,1.98182,0.9867,1.19126,0.0011288,0.0011288,0.0011288
24,1679.48,1.7856,0.83633,1.12581,0.75611,0.69879,0.73692,0.3275,1.9877,0.97932,1.19385,0.0010892,0.0010892,0.0010892
25,1748.46,1.78766,0.83816,1.12739,0.75793,0.69835,0.73952,0.32842,1.99299,0.97049,1.20305,0.0010496,0.0010496,0.0010496
26,1817.53,1.77374,0.82843,1.11927,0.75038,0.70437,0.73606,0.32899,1.97791,0.97357,1.19206,0.00101,0.00101,0.00101
27,1886.59,1.76327,0.82287,1.11886,0.76323,0.69842,0.74266,0.33179,1.98391,0.96034,1.19832,0.0009704,0.0009704,0.0009704
28,1955.62,1.75733,0.81993,1.11687,0.77887,0.69824,0.74878,0.33452,1.98363,0.95436,1.20069,0.0009308,0.0009308,0.0009308
29,2024.77,1.75159,0.81534,1.11788,0.76994,0.69657,0.74469,0.33272,1.98225,0.96671,1.19292,0.0008912,0.0008912,0.0008912
30,2093.64,1.74561,0.81486,1.11546,0.77029,0.70222,0.74943,0.33717,1.97328,0.96144,1.19321,0.0008516,0.0008516,0.0008516
31,2163.07,1.74322,0.80648,1.11323,0.7608,0.71025,0.74866,0.33596,1.97133,0.95222,1.19358,0.000812,0.000812,0.000812
32,2232.05,1.74347,0.81366,1.11239,0.76889,0.70458,0.74796,0.33795,1.96826,0.95458,1.19118,0.0007724,0.0007724,0.0007724
33,2301.39,1.73736,0.80579,1.11264,0.76365,0.71063,0.74793,0.33664,1.97534,0.94297,1.19406,0.0007328,0.0007328,0.0007328
34,2370.37,1.72617,0.80076,1.1083,0.75327,0.71012,0.74662,0.33811,1.96087,0.95482,1.18694,0.0006932,0.0006932,0.0006932
35,2439.75,1.72323,0.79898,1.10564,0.77306,0.70634,0.75434,0.34031,1.96497,0.94146,1.19194,0.0006536,0.0006536,0.0006536
36,2509.09,1.71959,0.79491,1.10587,0.76327,0.70464,0.74995,0.33853,1.96872,0.94194,1.19304,0.000614,0.000614,0.000614
37,2577.9,1.70949,0.78718,1.10369,0.7724,0.70516,0.75449,0.34284,1.95833,0.93603,1.19005,0.0005744,0.0005744,0.0005744
38,2647.26,1.70889,0.79253,1.10363,0.76846,0.7098,0.75327,0.34247,1.95144,0.94239,1.18694,0.0005348,0.0005348,0.0005348
39,2715.97,1.70397,0.78678,1.0977,0.76747,0.70553,0.75334,0.34292,1.95114,0.93966,1.18801,0.0004952,0.0004952,0.0004952
40,2784.84,1.69209,0.77887,1.09571,0.76979,0.7088,0.75689,0.34526,1.95287,0.92582,1.19193,0.0004556,0.0004556,0.0004556
